dataset,n,W,metodo,tiempo,optimo
berlin52,52,7542,H1,0.077195,8980.92
berlin52,52,7542,H2,0.876176,9954.06
berlin52,52,7542,HAGM,0.169939,10403.9
eil51,51,426,H1,0.074145,513.61
eil51,51,426,H2,0.778665,481.519
eil51,51,426,HAGM,0.061676,615.352
eil76,76,538,H1,0.068476,711.993
eil76,76,538,H2,0.796732,617.132
eil76,76,538,HAGM,0.197199,749.275
kroA100,100,21282,H1,0.071252,26856.4
kroA100,100,21282,H2,1.22144,24197.3
kroA100,100,21282,HAGM,0.185082,30516.9
st70,70,675,H1,0.041862,805.531
st70,70,675,H2,0.579084,746.044
st70,70,675,HAGM,0.105894,861.765
